{'loss': 0.1757, 'grad_norm': 1.0572952032089233, 'learning_rate': 3.2564e-05, 'epoch': 1.74}
{'loss': 0.1965, 'grad_norm': 1.1341217756271362, 'learning_rate': 3.2484e-05, 'epoch': 1.75}
{'loss': 0.1876, 'grad_norm': 1.0791270732879639, 'learning_rate': 3.2404000000000003e-05, 'epoch': 1.76}
{'loss': 0.1885, 'grad_norm': 1.2903844118118286, 'learning_rate': 3.2324000000000004e-05, 'epoch': 1.77}
{'loss': 0.2062, 'grad_norm': 1.3132144212722778, 'learning_rate': 3.2244000000000005e-05, 'epoch': 1.78}
{'loss': 0.2126, 'grad_norm': 0.8744320869445801, 'learning_rate': 3.2164e-05, 'epoch': 1.78}
{'loss': 0.1882, 'grad_norm': 2.2008516788482666, 'learning_rate': 3.2084e-05, 'epoch': 1.79}
{'loss': 0.2063, 'grad_norm': 0.9755426049232483, 'learning_rate': 3.2004e-05, 'epoch': 1.8}
{'loss': 0.2209, 'grad_norm': 0.8308669924736023, 'learning_rate': 3.1924e-05, 'epoch': 1.81}
{'loss': 0.2325, 'grad_norm': 1.7522978782653809, 'learning_rate': 3.1844e-05, 'epoch': 1.82}
{'loss': 0.2257, 'grad_norm': 1.6634210348129272, 'learning_rate': 3.1763999999999996e-05, 'epoch': 1.82}
{'loss': 0.2104, 'grad_norm': 1.2966301441192627, 'learning_rate': 3.1684000000000004e-05, 'epoch': 1.83}
{'loss': 0.1905, 'grad_norm': 1.4976894855499268, 'learning_rate': 3.1604e-05, 'epoch': 1.84}
{'loss': 0.2031, 'grad_norm': 1.5708541870117188, 'learning_rate': 3.1524000000000005e-05, 'epoch': 1.85}
{'loss': 0.1795, 'grad_norm': 1.6552404165267944, 'learning_rate': 3.1444e-05, 'epoch': 1.86}
{'loss': 0.2275, 'grad_norm': 2.620556116104126, 'learning_rate': 3.1364e-05, 'epoch': 1.86}
{'loss': 0.2318, 'grad_norm': 2.0743000507354736, 'learning_rate': 3.1284e-05, 'epoch': 1.87}
{'loss': 0.2151, 'grad_norm': 1.2074792385101318, 'learning_rate': 3.1204e-05, 'epoch': 1.88}
{'loss': 0.2089, 'grad_norm': 0.9313874244689941, 'learning_rate': 3.1124e-05, 'epoch': 1.89}
{'loss': 0.2089, 'grad_norm': 1.7344938516616821, 'learning_rate': 3.1044e-05, 'epoch': 1.9}
